CustomerID,Age,Gender,Tenure_Months,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
1,56,Male,40,41393.42,3,1,1,101505.9,0
2,69,Male,45,39385.65,2,1,0,125091.33,0
3,46,Male,62,31221.27,2,0,1,99514.03,0
4,32,Female,58,24724.06,3,0,1,58447.18,0
5,60,Male,67,48977.54,3,1,1,53246.68,0
6,25,Male,56,7248.25,4,0,1,62564.72,0
7,38,Male,40,36257.79,1,0,0,41400.67,0
8,56,Female,40,9559.54,1,1,1,43552.34,0
9,36,Female,33,16913.16,4,0,0,122789.84,0
10,40,Male,6,15434.94,2,1,1,70015.23,0
11,28,Male,19,47351.8,3,1,0,76679.37,0
12,28,Male,40,48367.81,3,1,0,97226.43,0
13,41,Male,59,9150.77,3,1,1,96654.95,0
14,53,Female,59,1101.76,2,1,1,28758.99,0
15,57,Female,48,36000.4,3,0,1,128100.3,0
16,41,Female,41,20899.5,3,1,0,43052.45,0
17,20,Female,13,4442.01,4,0,1,113999.31,0
18,39,Male,45,34187.71,2,1,1,120447.23,0
19,19,Male,53,27255.28,1,1,0,112936.94,0
20,41,Male,42,49025.84,4,1,1,95267.09,0
21,61,Female,63,11370.47,4,0,0,21899.17,0
22,47,Male,27,20198.89,1,1,1,66848.81,0
23,55,Female,38,27127.29,4,1,0,98629.13,0
24,19,Female,60,39585.0,2,1,0,70368.67,0
25,38,Male,7,27441.93,3,1,1,132252.39,0
26,50,Male,5,30645.01,2,0,0,60144.3,0
27,29,Male,45,11307.35,1,1,1,58159.52,0
28,39,Female,58,42345.94,1,0,1,54579.7,0
29,61,Male,31,21431.53,4,1,0,63261.51,0
30,42,Female,23,7047.98,2,0,1,92462.65,0
31,66,Male,42,33209.4,2,0,0,111911.99,0
32,44,Female,10,10804.52,1,1,0,106133.83,0
33,59,Female,32,4878.13,2,1,0,125003.32,0
34,45,Male,53,43099.35,1,0,0,135168.82,0
35,33,Female,30,23008.11,2,1,0,126090.28,0
36,32,Female,39,37464.19,2,1,0,22462.9,0
37,64,Male,31,14529.38,2,1,0,115669.33,0
38,68,Female,2,39348.51,1,0,0,47091.94,0
39,61,Male,12,5596.8,4,1,1,37280.65,0
40,69,Female,39,17798.67,2,1,1,103003.54,0
41,20,Male,66,48903.09,1,1,0,61566.62,0
42,54,Male,13,39699.49,1,0,1,27425.23,0
43,68,Female,46,24862.8,2,1,1,37891.87,0
44,24,Female,27,16988.87,2,0,1,20120.82,0
45,38,Female,17,43606.79,4,1,1,137419.07,0
46,26,Female,60,27242.39,1,0,1,23200.34,0
47,56,Female,64,37921.25,1,1,1,47229.25,0
48,35,Male,35,37705.38,3,1,0,74114.16,0
49,21,Female,70,897.28,1,0,1,66354.27,0
50,42,Male,30,6312.69,4,0,1,138524.36,0
51,31,Male,71,32981.47,3,0,1,25237.56,0
52,67,Female,63,8080.99,3,1,1,86587.91,0
53,26,Male,28,12774.67,3,1,0,108462.33,0
54,43,Male,60,47331.9,2,1,0,141120.74,0
55,19,Male,37,28009.11,2,1,0,100648.26,0
56,37,Male,22,37536.48,1,0,0,124488.18,0
57,45,Female,68,27899.04,3,1,1,30884.24,0
58,64,Male,20,27625.68,4,1,0,70172.14,0
59,24,Female,68,4707.6,2,1,0,68613.13,0
60,61,Female,64,17183.16,4,1,0,135217.47,0
61,25,Male,17,14121.54,4,1,0,39678.25,0
62,64,Female,12,19536.42,2,1,1,39745.2,0
63,52,Female,22,39917.21,2,1,0,62712.56,0
64,31,Female,17,18596.63,2,0,1,27080.59,0
65,34,Male,10,22584.84,2,1,0,43719.55,0
66,53,Female,65,19869.07,3,1,1,145477.25,0
67,67,Female,22,4670.4,3,1,1,75663.91,0
68,57,Female,50,22053.61,3,1,0,102162.5,0
69,21,Male,14,9780.46,3,0,0,114394.46,0
70,19,Female,64,9336.16,1,0,0,67704.98,0
71,23,Male,47,4701.81,3,0,0,39139.52,0
72,59,Male,29,17833.55,2,0,1,46855.53,0
73,21,Male,36,37874.09,4,0,1,60724.64,0
74,46,Male,52,13822.08,3,0,0,102688.89,0
75,35,Male,7,15617.46,1,1,0,71776.47,0
76,43,Male,29,32133.73,2,0,1,20885.91,0
77,61,Female,11,9792.04,4,0,0,88042.93,1
78,51,Male,33,44847.9,4,1,1,139796.74,0
79,27,Female,6,26009.53,3,0,0,125570.09,0
80,53,Female,32,22380.15,4,1,1,127277.48,0
81,31,Male,51,27891.01,3,1,1,123357.54,0
